City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temperature
163,bambanglipuro,-7.95,110.2833,298.24,89,100,1.93,ID,1681238511,29.824
164,trogir,43.5125,16.2517,287.18,44,0,4.12,HR,1681238512,28.718
165,mount isa,-20.7333,139.5,288.02,72,98,0.0,AU,1681238512,28.802
166,banamba,13.55,-7.45,306.96,17,98,8.23,ML,1681238512,30.695999999999998
167,launceston,-41.45,147.1667,286.27,89,40,2.06,AU,1681238512,28.627
168,tornio,65.8481,24.1466,272.16,99,100,0.7,FI,1681238513,27.216
169,urengoy,65.9667,78.3667,252.04,97,95,4.22,RU,1681238513,25.204
170,malindi,-3.2175,40.1191,302.24,74,20,2.57,KE,1681238514,30.224
171,marquette,46.5333,-87.6335,287.84,43,100,3.9,US,1681238514,28.784
172,sao filipe,14.8961,-24.4956,295.8,66,97,4.75,CV,1681238514,29.580000000000002
173,karlskrona,56.1616,15.5866,279.4,97,100,1.37,SE,1681238514,27.939999999999998
174,kokstad,-30.5472,29.4241,279.44,94,7,1.15,ZA,1681238515,27.944
175,monte alegre de sergipe,-10.0272,-37.5622,304.45,43,100,6.94,BR,1681238515,30.445
176,faanui,-16.4833,-151.75,300.81,73,95,3.02,PF,1681238515,30.081
177,kargasok,59.0556,80.8572,260.71,93,44,3.29,RU,1681238515,26.070999999999998
178,cockburn town,21.4612,-71.1419,299.2,74,0,3.29,TC,1681238516,29.919999999999998
179,norman wells,65.282,-126.8329,268.17,68,75,4.63,CA,1681238516,26.817
180,vestmanna,62.1564,-7.1664,278.66,81,100,4.12,FO,1681238516,27.866000000000003
181,oranjemund,-28.55,16.4333,288.74,63,58,5.09,,1681238516,28.874000000000002
182,vardo,70.3705,31.1107,274.14,80,75,2.57,NO,1681238517,27.413999999999998
183,mantua,45.1667,10.7833,290.68,70,51,2.76,IT,1681238517,29.068
184,hualmay,-11.0964,-77.6139,299.64,73,32,4.64,PE,1681238518,29.964
185,ribeira grande,38.5167,-28.7,291.37,88,40,7.2,PT,1681238518,29.137
186,kamina,-8.7386,24.9906,291.96,95,100,1.58,CD,1681238519,29.195999999999998
187,ostersund,63.1792,14.6357,277.4,65,0,6.69,SE,1681238519,27.74
188,kudahuvadhoo,2.6708,72.8944,301.68,71,12,4.51,MV,1681238519,30.168
189,teya,60.3778,92.6267,261.27,88,100,5.24,RU,1681238274,26.127
190,gat,31.61,34.7642,289.53,100,5,0.47,IL,1681238520,28.952999999999996
191,qaanaaq,77.484,-69.3632,252.95,82,0,0.41,GL,1681238521,25.294999999999998
192,kloulklubed,7.0419,134.2556,297.43,78,100,3.32,PW,1681238521,29.743000000000002
193,arraial do cabo,-22.9661,-42.0278,299.13,65,75,5.66,BR,1681238522,29.913
194,kota tinggi,1.7381,103.8999,299.17,91,100,1.27,MY,1681238461,29.917
195,georgetown,5.4112,100.3354,302.11,89,20,1.54,MY,1681238473,30.211000000000002
196,zhigansk,66.7697,123.3711,245.44,97,13,2.78,RU,1681238523,24.544
197,sao joao da barra,-21.6403,-41.0511,298.2,69,87,4.33,BR,1681238524,29.82
198,east london,-33.0153,27.9116,288.67,67,0,6.17,ZA,1681238490,28.867
199,lorengau,-2.0226,147.2712,299.87,78,77,2.81,PG,1681238524,29.987000000000002
200,inhambane,-23.865,35.3833,297.14,88,75,2.06,MZ,1681238525,29.714
201,aksu,41.1231,80.2644,286.52,38,100,6.27,CN,1681238526,28.651999999999997
202,mahebourg,-20.4081,57.7,298.85,88,40,2.06,MU,1681238526,29.885
203,constitucion,-35.3333,-72.4167,291.4,71,68,4.65,CL,1681238527,29.139999999999997
204,puerto escondido,15.85,-97.0667,304.61,66,0,8.75,MX,1681238509,30.461000000000002
205,nantucket,41.2835,-70.0995,290.45,71,0,8.23,US,1681238443,29.044999999999998
206,grindavik,63.8424,-22.4338,278.41,87,75,5.14,IS,1681238528,27.841
207,praia da vitoria,38.7333,-27.0667,293.29,77,40,5.06,PT,1681238529,29.329
208,lagoa,39.05,-27.9833,287.68,83,92,6.08,PT,1681238529,28.768
209,husavik,66.0449,-17.3389,276.35,95,78,5.18,IS,1681238517,27.635
210,sungairaya,0.7,108.9,298.42,86,26,2.03,ID,1681238530,29.842000000000002
211,longyearbyen,78.2186,15.6401,270.06,86,75,1.54,SJ,1681238531,27.006
212,paliyad,22.25,71.5667,302.79,31,95,5.83,IN,1681238531,30.279000000000003
213,tiksi,71.6872,128.8694,246.11,100,100,0.7,RU,1681238532,24.611
214,faya,18.3851,42.4509,291.21,52,0,2.11,SA,1681238532,29.121
215,paamiut,61.994,-49.6678,270.94,88,88,1.04,GL,1681238532,27.094
216,makinsk,52.6292,70.4169,271.98,72,7,2.22,KZ,1681238533,27.198
